Address,Sold Price,Type,Year built,Heating,Cooling,Parking,Bedrooms,Bathrooms,Elementary School Score,Elementary School Distance,Middle School Score,Middle School Distance,High School Score,High School Distance,Appliances included,Laundry features,Zip,Neighborhood
1727 W 67th St,505000.0,SingleFamily,1926.0,Combination,"Wall/Window Unit(s), Evaporative Cooling, See Remarks","Detached Carport, Garage",3,2.0,3.0,0.8,2.0,1.1,2.0,1.3,,Inside,90047,South Los Angeles
5947 S Van Ness Ave,565000.0,SingleFamily,1923.0,Wall Furnace,Evaporative Cooling,Driveway,3,2.0,2.0,0.1,2.0,1.6,,,"Dishwasher, Disposal, Microwave",Laundry Room,90047,South Los Angeles
1741 1/2 S Spaulding Ave,1200000.0,SingleFamily,1938.0,Central,Central Air,Driveway,3,2.0,4.0,0.5,,,7.0,1.9,"Dishwasher, Refrigerator, Built-In",Laundry Closet,90019,Mid-City
9911 Holmes Ave,430000.0,SingleFamily,1957.0,,Wall/Window Unit(s),Garage - Attached,3,2.0,4.0,7.8,3.0,0.4,,,,"Gas & Electric Dryer Hookup, Inside",90002,Watts
4226 Tivoli Ave,1745000.0,SingleFamily,1941.0,,,"Driveway, Garage - Two Door",4,2.0,6.0,0.3,2.0,1.0,6.0,0.6,,Laundry Room,90066,Mar Vista
4181 Sutro Ave,640750.0,SingleFamily,1936.0,Forced Air,,Garage - Two Door,3,2.0,2.0,0.1,2.0,0.4,,,,In Kitchen,90008,Baldwin Hills
1342 N Sierra Bonita Ave APT 204,895000.0,Condo,1991.0,"Fireplace(s), Forced Air","Central Air, Dual","Assigned, Controlled Entrance, Garage, Gated, Guest, Side By Side, Underground",2,3.0,7.0,0.3,3.0,1.1,7.0,0.9,"Dishwasher, Disposal, Microwave, Refrigerator, Vented Exhaust Fan, Water Purifier, Built-In, Convection Oven, Gas Cooktop, Gas Range, Range, Range Hood, Washer, Dryer","Laundry Closet, Inside, Upper Level, Laundry Room",90046,Hollywood Hills
1146 E 85th St,430000.0,SingleFamily,1929.0,,,Garage,2,1.0,5.0,0.2,1.0,0.4,,,,Inside,90001,
1741 S Spaulding Ave,1200000.0,SingleFamily,1938.0,Forced air,Central,"Garage, Covered",3,2.0,4.0,0.6,,,6.0,1.7,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Individual Room, Gas Dryer Hookup, Washer Hookup",90019,Mid-City
829 S Ogden Dr,1780000.0,SingleFamily,1924.0,Central,Central Air,"Auto Driveway Gate, Driveway, Concrete, Gated",3,1.0,5.0,0.5,,,7.0,1.4,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Water Purifier, Washer, Dryer",Stackable,90036,Fairfax
