Address,Sold Price,Type,Year built,Heating,Cooling,Parking,Bedrooms,Bathrooms,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Appliances included,Laundry features,Tax assessed value,Annual tax amount,City
1727 W 67th St,505000.0,SingleFamily,1926.0,Combination,"Wall/Window Unit(s), Evaporative Cooling, See Remarks","Detached Carport, Garage",3,2.0,Raymond Avenue Elementary School,3.0,0.8,John Muir Middle School,2.0,1.1,Augustus F. Hawkins High A Critical Design And Gaming,2.0,1.3,,Inside,505000.0,6253.0,Los Angeles
5947 S Van Ness Ave,565000.0,SingleFamily,1923.0,Wall Furnace,Evaporative Cooling,Driveway,3,2.0,Fifty-Ninth Street Elementary School,2.0,0.1,Audubon Middle School,2.0,1.6,,,,"Dishwasher, Disposal, Microwave",Laundry Room,464100.0,5734.0,Los Angeles
1741 1/2 S Spaulding Ave,1200000.0,SingleFamily,1938.0,Central,Central Air,Driveway,3,2.0,Saturn Street Elementary School,4.0,0.5,,,,Fairfax Senior High School,7.0,1.9,"Dishwasher, Refrigerator, Built-In",Laundry Closet,,,Los Angeles
9911 Holmes Ave,430000.0,SingleFamily,1957.0,,Wall/Window Unit(s),Garage - Attached,3,2.0,Griffin Avenue Elementary School,4.0,7.8,Edwin Markham Middle School,3.0,0.4,,,,,"Gas & Electric Dryer Hookup, Inside",215535.0,3069.0,Los Angeles
4226 Tivoli Ave,1745000.0,SingleFamily,1941.0,,,"Driveway, Garage - Two Door",4,2.0,Short Avenue Elementary School,6.0,0.3,Marina Del Rey Middle School,2.0,1.0,Venice Senior High School,6.0,0.6,,Laundry Room,351909.0,4443.0,Los Angeles
4181 Sutro Ave,640750.0,SingleFamily,1936.0,Forced Air,,Garage - Two Door,3,2.0,Forty-Second Street Elementary School,2.0,0.1,Audubon Middle School,2.0,0.4,,,,,In Kitchen,176963.0,2328.0,Los Angeles
1342 N Sierra Bonita Ave APT 204,895000.0,Condo,1991.0,"Fireplace(s), Forced Air","Central Air, Dual","Assigned, Controlled Entrance, Garage, Gated, Guest, Side By Side, Underground",2,3.0,Gardner Street Elementary School,7.0,0.3,Hubert Howe Bancroft Middle School,3.0,1.1,Fairfax Senior High School,7.0,0.9,"Dishwasher, Disposal, Microwave, Refrigerator, Vented Exhaust Fan, Water Purifier, Built-In, Convection Oven, Gas Cooktop, Gas Range, Range, Range Hood, Washer, Dryer","Laundry Closet, Inside, Upper Level, Laundry Room",753456.0,9196.0,Los Angeles
1146 E 85th St,430000.0,SingleFamily,1929.0,,,Garage,2,1.0,Russell Elementary School,5.0,0.2,Charles Drew Middle School,1.0,0.4,,,,,Inside,322000.0,4530.0,Los Angeles
1741 S Spaulding Ave,1200000.0,SingleFamily,1938.0,Forced air,Central,"Garage, Covered",3,2.0,Crescent Heights Boulevard Elementary School,4.0,0.6,,,,Alexander Hamilton Senior High School,6.0,1.7,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Individual Room, Gas Dryer Hookup, Washer Hookup",939286.0,11564.0,Los Angeles
829 S Ogden Dr,1780000.0,SingleFamily,1924.0,Central,Central Air,"Auto Driveway Gate, Driveway, Concrete, Gated",3,1.0,Carthay Center Elementary,5.0,0.5,,,,Fairfax Senior High School,7.0,1.4,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Water Purifier, Washer, Dryer",Stackable,1136552.0,13913.0,Los Angeles
358 S Gramercy Pl APT 308,420000.0,Condo,1965.0,Central,Central Air,"Assigned, Built-In Storage, Community Structure, Controlled Entrance, Underground",1,1.0,Wilshire Park Elementary School,6.0,0.5,John Burroughs Middle School,7.0,1.5,Los Angeles Senior High School,4.0,1.5,"Convection Oven, Dishwasher, Gas Range, Ice Maker, Refrigerator",Community,277100.0,3424.0,Los Angeles
1018 S Gretna Green Way,4550000.0,SingleFamily,2019.0,Central,"Central Air, Dual, Heat Pump",Garage - Attached,5,6.0,,,,Paul Revere Middle School,7.0,1.8,University Senior High School Charter,6.0,0.5,"Barbecue, Dishwasher, Disposal, Microwave, Water Purifier, Built-In, Gas Cooktop, Double Oven, Gas Oven, Dryer",Laundry Room,2499000.0,30136.0,Los Angeles
4328 Chase Ave,1364000.0,SingleFamily,1941.0,Central,,Driveway,2,2.0,Short Avenue Elementary School,6.0,0.2,Marina Del Rey Middle School,2.0,0.6,Venice Senior High School,6.0,1.0,,In Garage,543414.0,6711.0,Los Angeles
2222 Avenue Of The Stars UNIT 1902,3200000.0,Condo,1964.0,Central,Central Air,"Garage - Two Door, Valet",4,4.0,Westwood Charter Elementary School,9.0,1.4,,,,University Senior High School Charter,6.0,3.3,"Dishwasher, Disposal","Inside, See Remarks",2177177.0,26367.0,Los Angeles
6527 Ferguson Dr,525000.0,SingleFamily,1942.0,,,Garage,3,2.0,Montebello Park Elementary School,4.0,0.3,,,,Schurr High School,5.0,1.3,,Common Area,525000.0,7316.0,Los Angeles
4336 Moore St,1050000.0,SingleFamily,1953.0,,,Garage - Two Door,3,1.0,La Ballona Elementary School,6.0,2.0,Culver City Middle School,7.0,2.2,Culver City High School,8.0,2.1,"Dishwasher, Microwave, Washer",Laundry Room,448662.0,6129.0,Los Angeles
1535 Gordon St,1775000.0,SingleFamily,1940.0,,,Driveway,2,1.0,Grant Elementary School,4.0,0.4,Joseph Le Conte Middle School,3.0,0.3,Hollywood Senior High School,6.0,1.3,,,347416.0,4351.0,Los Angeles
5114 Melrose Ave,927500.0,SingleFamily,2014.0,Central,Central Air,Garage - Two Door,2,3.0,Van Ness Avenue Elementary School,6.0,0.3,Joseph Le Conte Middle School,3.0,0.8,Fairfax Senior High School,7.0,3.0,"Dishwasher, Microwave, Refrigerator",Inside,838486.0,10234.0,Los Angeles
5307 Dahlia Dr,1235000.0,SingleFamily,1940.0,"Forced Air, Natural Gas",Central Air,"Driveway, Garage, Concrete, Garage - Single Door",3,3.0,Dahlia Heights Elementary School,6.0,0.3,,,,Eagle Rock High School,7.0,0.7,"Disposal, Refrigerator, Dishwasher",Laundry Room,97237.0,1444.0,Los Angeles
3410 Colonial Ave,1725000.0,SingleFamily,1945.0,Central,Central Air,Garage,3,2.0,Walgrove Avenue Elementary School,4.0,0.8,Mark Twain Middle School and World Languages Magnet,4.0,0.9,Venice Senior High School,6.0,1.0,"Dryer, Washer",Stackable,899123.0,11126.0,Los Angeles
9316 Grape St,363000.0,SingleFamily,1924.0,,,,2,2.0,Ninety-Second Street Elementary School,4.0,0.1,Charles Drew Middle School,1.0,0.9,,,,Microwave,,210920.0,2878.0,Los Angeles
2117 W 77th St,500000.0,SingleFamily,1924.0,,,Garage,2,2.0,Seventy-Fourth Street Elementary School,3.0,0.1,,,,George Washington Preparatory High School,2.0,2.2,,Laundry Room,48578.0,783.0,Los Angeles
11753 Wetherby Ln,3500000.0,SingleFamily,2019.0,,Central Air,Garage - Attached,5,6.0,Roscomare Road Elementary School,9.0,1.0,,,,University Senior High School Charter,6.0,4.2,,Laundry Room,2080800.0,25098.0,Los Angeles
1862 Echo Park Ave,950000.0,SingleFamily,1912.0,Wall,,"Garage, Covered",3,1.0,,,,Thomas Starr King Middle School,6.0,1.9,Belmont Senior High School,3.0,1.6,,"Gas Dryer Hookup, Washer Hookup",40517.0,648.0,Los Angeles
9515 Croesus Ave,345000.0,SingleFamily,1959.0,,,Garage - Attached,3,2.0,Ninety-Second Street Elementary School,4.0,0.2,Charles Drew Middle School,1.0,1.1,,,,,"Laundry Room, Outside",233739.0,3078.0,Los Angeles
1116 S Oxford Ave,8750000.0,SingleFamily,1924.0,Wall,Wall,"Carport, Garage - Detached, Covered",2,2.0,Los Angeles Elementary School,3.0,0.1,Pio Pico Middle School,5.0,0.7,West Adams Preparatory High School,4.0,1.3,"Garbage disposal, Refrigerator",,1326510.0,16249.0,Los Angeles
1914 Selby Ave APT 101,835000.0,Condo,1989.0,Central,Central Air,0 spaces,2,3.0,Westwood Charter Elementary School,9.0,0.2,,,,University Senior High School Charter,6.0,1.8,"Dishwasher, Refrigerator, Washer, Dryer",,666855.0,8158.0,Los Angeles
654 N Virgil Ave APT 305,805000.0,Condo,2019.0,Central,Central,Covered,3,3.0,Dayton Heights Elementary School,6.0,0.1,Thomas Starr King Middle School,6.0,0.9,John Marshall Senior High School,8.0,1.7,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer",In Unit,,,Los Angeles
12561 Walsh Ave,2170000.0,SingleFamily,2019.0,Central,Central Air,"Garage, Other",4,5.0,Short Avenue Elementary School,6.0,0.4,Marina Del Rey Middle School,2.0,0.3,Venice Senior High School,6.0,1.2,"Freezer, Refrigerator, Barbecue, Counter Top, Disposal, Range Hood, Oven, Microwave, Dishwasher, Range",See Remarks,1593240.0,19345.0,Los Angeles
12233 Dorothy St,2950172.0,SingleFamily,1940.0,Central,Central Air,"Detached Carport, Garage",4,4.0,Kenter Canyon Elementary School,9.0,1.8,Paul Revere Middle School,7.0,1.5,University Senior High School Charter,6.0,0.8,"Dishwasher, Disposal, Refrigerator, Gas Cooktop, Double Oven, Microwave, Range Hood, Washer, Dryer",Inside,1880523.0,22881.0,Los Angeles
4424 W 61st St,800000.0,SingleFamily,1939.0,Wall Furnace,,Garage - Attached,3,2.0,Fifty-Fourth Street Elementary School,2.0,0.8,Audubon Middle School,2.0,2.2,,,,Disposal,,153420.0,2226.0,Los Angeles
2842 Hollyridge Dr,1520000.0,SingleFamily,1962.0,Central,Central Air,"Covered, Direct Access, Garage Door Opener, Garage - Two Door",2,2.0,Cheremoya Avenue Elementary School,6.0,0.9,Joseph Le Conte Middle School,3.0,1.6,Hollywood Senior High School,6.0,1.9,"Dishwasher, Disposal, Microwave, Refrigerator",Laundry Closet,1074617.0,13275.0,Los Angeles
460 S Spring St APT 204,360000.0,Condo,1912.0,Central,Central Air,0 spaces,0,1.0,,,,John H. Liechty Middle School,3.0,1.4,Belmont Senior High School,3.0,1.2,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",,118000.0,1642.0,Los Angeles
159 S Gretna Green Way,6595000.0,SingleFamily,2016.0,Central,Central Air,"Direct Access, Driveway, Garage - Two Door",5,8.0,,,,Paul Revere Middle School,7.0,1.1,Palisades Charter High School,8.0,3.4,"Barbecue, Dishwasher, Disposal, Refrigerator, Washer, Dryer","Inside, Laundry Room",6422389.0,77710.0,Los Angeles
1117 S Ridgeley Dr,1611000.0,SingleFamily,1927.0,Central,Central Air,Driveway,3,3.0,Wilshire Crest Elementary School,2.0,0.6,John Burroughs Middle School,7.0,1.2,Fairfax Senior High School,7.0,1.8,,Stackable,1232160.0,15120.0,Los Angeles
3122 W 11th St,8750000.0,SingleFamily,1904.0,Central,Central,"Garage, Carport, Garage - Detached, Covered",3,3.0,Los Angeles Elementary School,3.0,0.1,Pio Pico Middle School,5.0,0.7,West Adams Preparatory High School,4.0,1.3,,Laundry Area,1289000.0,15766.0,Los Angeles
7604 Willow Glen Rd,2094000.0,SingleFamily,1965.0,Central,Central Air,"Garage, Garage - Attached, Covered",3,3.0,Gardner Street Elementary School,7.0,1.4,Hubert Howe Bancroft Middle School,3.0,2.6,Fairfax Senior High School,7.0,2.2,"Dishwasher, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator","Individual Room, Gas Dryer Hookup, Washer Hookup",1189036.0,14870.0,Los Angeles
10966 Strathmore Dr APT 8,982000.0,Condo,1935.0,Forced Air,,Carport,2,2.0,Warner Avenue Elementary School,9.0,1.1,,,,University Senior High School Charter,6.0,1.5,"Disposal, Refrigerator",,160389.0,2025.0,Los Angeles
11042 S Manhattan Pl,600000.0,SingleFamily,1947.0,Central,Central Air,"Garage, Garage Faces Rear",3,1.0,Cimarron Avenue Elementary School,4.0,0.5,Animo Charter Middle No. 3,4.0,0.8,George Washington Preparatory High School,2.0,0.4,"ENERGY STAR Qualified Appliances, Gas Oven, Gas Range, Microwave, Water Heater","Inside, Stackable",48805.0,1185.0,Los Angeles
11954 Goshen Ave #102,986000.0,Condo,1973.0,,,"Garage, Garage - Two Door",2,2.0,Brockton Avenue Elementary School,5.0,0.2,Paul Revere Middle School,7.0,2.0,University Senior High School Charter,6.0,0.3,,,783819.0,9550.0,Los Angeles
1943 Laughlin Park Dr,2594500.0,SingleFamily,1922.0,Floor Furnace,,"Driveway, Garage",4,3.0,Cheremoya Avenue Elementary School,6.0,1.0,Joseph Le Conte Middle School,3.0,1.1,Hollywood Senior High School,6.0,2.2,"Dishwasher, Microwave, Refrigerator, Trash Compactor",,157316.0,2114.0,Los Angeles
1085 W Kensington Rd,741000.0,Condo,1982.0,Central,,"Direct Access, Garage Door Opener, Garage - Two Door, Private",2,2.0,Logan Street Elementary School,2.0,0.5,,,,Belmont Senior High School,3.0,0.7,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",In Garage,176468.0,2250.0,Los Angeles
4816 Buchanan St,792000.0,SingleFamily,2019.0,"Central, Natural Gas, ENERGY STAR Qualified Equipment","Central Air, Electric, ENERGY STAR Qualified Equipment","Garage - Single Door, Garage Door Opener",3,2.0,Buchanan Street Elementary School,5.0,0.3,,,,Benjamin Franklin Senior High School,7.0,0.8,"Disposal, Gas Range, Gas Water Heater, Microwave, Refrigerator, Tankless Water Heater, Water Line to Refrigerator","Gas & Electric Dryer Hookup, In Garage",72828.0,1017.0,Los Angeles
3733 Ocean View Ave,1364000.0,SingleFamily,1953.0,Central,Central Air,Garage - Two Door,3,2.0,Grand View Boulevard Elementary School,6.0,0.4,Daniel Webster Middle School,3.0,1.5,Venice Senior High School,6.0,0.8,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",In Garage,1362923.0,16549.0,Los Angeles
4421 Berkshire Ave,1062000.0,SingleFamily,1911.0,Wall Furnace,,"Driveway, Garage",4,2.0,Sierra Vista Elementary School,6.0,0.1,El Sereno Middle School,5.0,1.6,Woodrow Wilson Senior High School,4.0,2.4,,Inside,720000.0,9036.0,Los Angeles
